работать,1924
никакой,781
отмена,57
президентский,29
срок,329
конституция,209
отменить,143
третий,258
избираться,5
ранний,500
путин,1256
закон,1002
обратный,93
сила,367
иметь,1544
должный,1642
смотреть,1240
например,867
декриминализация,3
какоголибо,8
деяние,13
видеть,1530
её,666
событие,141
внесение,8
изменение,124
наоборот,331
игнорироваться,8
десять,86
пост,606
сидеть,913
ограничение,210
вообще,2622
принимать,230
максимум,138
тюрьма,232
сажать,180
нарушение,146
почитать,205
эахахахах,1
ночь,96
перевод,78
бумага,134
мёртвый,86
дерево,71
очень,1960
здравый,101
идея,382
15,936
мент,96
показывать,266
сутки,143
угодить,42
прикол,169
полка,46
поставить,288
вломиться,4
омон,54
собразец,3
случайный,37
проверка,84
сдобровать,1
панель,12
мало,538
платить,883
подработка,14
искать,304
сторона,635
рабочий,287
ответить,356
вопрос,1223
который,5500
придумать,307
юморист,12
блин,291
серьёзно,267
ii,7
неcоблюдение,1
конcтитуция,1
привести,251
деградaции,1
cиcтема,1
прaвоcудия,1
iii,4
20,535
год,4668
команда,134
пудинг,3
страна,3160
экoлогический,1
катаcтрофа,1
весь,2527
стpана,1
покрыть,15
свалка,16
cладить,1
система,510
досортировка,1
безвреднойпереработка,1
мусoр,1
рф,861
фактически,64
нигде,122
cоздать,1
iv,3
занижeнный,1
aбcypд,1
мpот,1
170,5
фaктичеcка,1
лишать,38
миллион,611
рабoтaющиx,1
граждaн,1
pф,2
возмoжность,1
peaлизовать,1
свoь,2
бaзoвыя,1
конституционный,22
пpaвa,1
пpаво,1
oтдых,1
жильё,100
забота,44
семья,404
отгрызть,2
рука,492
р,62
фи,2
плебейский,1
харч,1
слуга,9
соловьиный,14
язычок,2
трюфель,1
ага,619
соображение,13
уважение,93
еда,254
давно,897
пора,545
выбросить,14
какиеть,203
прогрессивный,67
психоложка,1
ребёнок,1718
фраза,166
переставать,49
слышать,381
свой,4086
желудок,19
современный,223
воспитатель,14
приводить,109
общество,368
гедонист,1
человек,6835
просить,247
пицца,23
бургер,23
прикрываться,24
бодипозитив,12
здоровье,246
здоровый,238
образ,237
жизнь,1466
питание,59
самодисциплина,1
телевизор,119
уничтожать,44
тонна,58
санкционный,8
государство,814
бульдозер,5
давить,64
нихрен,28
ценный,48
ресурс,191
выживание,32
уважать,124
ещё,3068
война,482
идти,1551
хлеб,101
остаться,476
3,612
день,1344
учить,242
ненависть,92
детство,131
целое,293
запихивать,6
килограмм,23
блевать,8
ой,269
переесть,1
норма,622
порция,24
воспитывать,49
уничтожаться,6
куча,386
виноватый,355
взрослый,157
ибо,335
готовить,77
несоразмерный,1
неправильно,65
жирно,54
гиперболизировать,7
увы,126
помнить,371
деский,1
голодный,49
90е,62
чёрный,401
зажратый,1
современность,10
кроме,557
обожратый,1
знать,2857
хороший,1533
прислушиваться,15
сознание,57
правильность,14
чревоугодие,2
наш,1431
всё,2154
просто,4249
доесть,11
вполне,481
рационально,6
нахрен,60
лола,579
хз,377
добыча,33
тратиться,28
тяжёлый,142
поход,157
магазин,297
дело,1855
доводить,19
истерик,2
слово,1690
пока,1052
изз,884
стол,46
выйти,622
дать,1250
сколько,869
хотеть,2076
тарелка,24
именно,1079
давление,81
кп,3
появляться,101
нервный,21
анорексия,4
сновать,2
жирный,105
совесть,81
родитель,372
возлежать,2
привитие,2
культура,166
физический,97
совершенствование,3
простой,592
говорить,2771
приобщение,1
спорт,145
вообщеть,206
эпидемия,100
ожирение,9
качка,7
ложка,27
бульон,5
ходить,567
орать,96
живот,44
боль,61
уговор,2
качалка,12
пусть,540
любить,566
пачкать,5
00000000000000000000000000000900099900ть,1
0хшш9х90⁰0,1
полагать,81
россия,2722
менее,265
выразить,33
большинство,608
1го,5
мир,1425
брать,599
статистика,497
среднее,144
больница,215
правый,230
первый,1506
очередь,336
молодой,200
форма,207
скоро,351
принцип,360
назвать,345
мужской,112
тенденция,39
обеспечивать,46
недоедание,2
неспортивность,1
лезть,133
начинать,337
попрекать,4
10,654
мочь,2912
нормальный,774
борщ,19
умять,3
крайность,42
нужно,1357
необходимо,56
индивидуальноить,2
составлять,87
графика,48
наобум,3
кормить,127
тип,801
принять,326
давать,1189
здоровенный,5
игнорировать,54
мнение,805
ребëнка,2
чтотстолько,1
съесть,105
видный,82
стенка,21
линужный,1
писалить,2
непонятночтый,1
иметься,99
ввиду,153
