знать,1183
пункт,62
работать,907
ура,86
сборник,7
сказка,58
дед,374
давно,513
фантастика,11
читалспасибо,1
равно,291
пять,2578
пикчер,903
жаба,33
написать,429
править,24
пока,466
сдохнуть,73
подарок,51
обычно,186
чтоть,460
бесполезный,65
давать,651
качество,141
ночь,72
выдача,9
второй,317
новый,872
конституция,115
поправка,68
третий,173
четвёртый,24
либер,28
коммент,327
прорвать,3
четыре,1980
нормально,231
костёр,7
разжечь,2
рить,6
крайний,56
мера,142
первый,713
хм,59
2008,22
дело,818
здравый,77
идея,198
всякий,311
приколоть,6
её,355
вручать,6
вместе,126
обложка,9
правда,248
собрать,92
паспорт,96
заново,6
раздать,19
тип,314
читать,462
еë,7
прилюдно,2
всёравный,3
статья,327
почта,61
присылать,7
сразу,425
рулон,5
мягкий,21
бумага,79
бывать,122
кремлёбот,36
который,2281
получать,259
15,195
рубль,400
комментарий,300
сколько,570
либерахобот,1
сторона,255
выгодный,28
нормальный,362
инициатива,53
тратить,79
лишний,88
печать,10
предлагать,178
прекратить,40
выпуск,32
какойнибудь,36
вечерний,20
москва,384
районный,3
газета,54
столица,61
пустить,48
страна,1556
должный,732
хватить,211
думать,724
потомвинтить,1
чтение,19
митинг,326
рабочий,172
зад,8
подтереть,5
надпись,23
право,513
потерять,100
надеяться,353
печатать,22
туалетный,19
удобство,10
пoтoмвинтить,1
зa,8
чтeниe,2
кoнcтитуция,1
нa,12
митингe,1
чтоение,1
бобик,3
катать,9
бесплатно,114
бильбия,1
спасибо,319
блин,219
скинта,3
видос,87
вертеть,18
болт,20
житель,168
нате,2
ребята,245
нужный,528
хозяйство,8
пригодиться,24
ещё,1556
7,111
год,2471
назад,275
вручить,10
ваш,471
возвращение,23
берег,24
уговор,2
второе,27
кодекс,20
пиратский,8
наш,994
закон,533
приписать,7
просто,1654
свод,1
указание,13
жёсткий,38
хороший,920
повод,169
рассмотреть,8
рф,400
вообще,1152
соблюдаться,7
i,41
принцип,152
разделение,5
власть,566
основа,45
баланс,14
госконструкция,1
14,65
поздноватый,4
бла,33
покупать,199
полтос,3
толк,58
дать,720
бог,497
девочка,90
срок,185
недавно,120
вслух,6
уголовный,64
пиплый,6
любой,467
буклет,1
изменить,36
угода,6
старый,216
маразматик,16
смысл,295
россияние,1
5,287
6,136
штука,56
100,226
приходить,109
очередной,311
пожизненный,32
вождь,37
писать,474
последний,329
надругаться,1
навносить,1
американец,111
четверть,16
тысячелетие,6
россия,1895
жить,860
понятие,46
микс,3
феодальномафиознодворов,1
воззрение,1
большинство,189
население,322
кокетливый,2
называть,164
всё,1326
скреп,45
светский,5
федеративный,1
демократический,22
социальный,130
республика,59
реальность,69
весь,1427
диаметрально,1
противоположный,11
нe,23
дaй,1
бoг,3
читaть,1
дeвoчкe,1
cpoк,1
дaть,1
нeдaвнo,1
вcлуx,1
прочитать,179
понять,600
комплексный,4
предмет,69
неплохо,75
школа,349
время,999
выделить,56
например,176
вместо,257
религиоведение,1
слава,120
плеть,1
кроме,216
мясо,65
дурак,72
вроде,355
очевидный,79
почему,1037
шесть,183
обед,16
ужин,8
увидеть,174
съесть,79
завтрак,10
итог,188
разобрать,14
тупо,95
жаловаться,67
поговорка,8
мама,121
гаварить,1
королевский,7
краб,5
сливочич,1
соус,4
жи,6
соглашаться,6
ребёнок,1011
рациональный,4
уважать,54
еда,144
уважительный,9
отношение,241
воспитывать,24
культурный,34
ориентир,3
мол,49
важный,165
источник,65
жизнь,692
нужно,745
относиться,87
бережно,1
небрежность,2
приводить,40
беспорядок,22
уничтожение,24
куча,145
столько,227
сила,206
потратить,71
добыча,9
приготовление,5
дисциплина,4
учить,98
верно,45
посуда,8
чистота,14
любить,292
внимательный,5
родитель,185
подходить,46
питание,31
свой,1936
маленький,411
улица,193
сновать,1
мумия,1
полупрозрачный,1
обзываться,14
называться,117
©,30
процесс,70
исследование,119
гастрит,1
спокойно,98
довести,52
ребенкапот,1
мучиться,12
будетпоэтому,1
стол,42
чадо,8
следить,65
тщательно,12
говорить,972
важность,6
питаниясвоить,1
пример,157
почитать,99
совет,53
воспитание,33
соц,49
сеть,132
следовать,58
вылезти,25
утроба,6
пенька,7
жопа,166
пускай,59
самостоятельно,21
сказать,874
сделать,905
жирный,42
тётка,20
чисто,65
опыт,71
психолог,25
рассуждать,12
правильный,70
диетолог,2
чилик,2
снова,199
главное,280
использовать,227
мотивация,14
хитпарад,1
плохой,420
фраза,51
глядеть,43
ощущать,8
злость,11
раздражение,3
заставлять,70
детство,109
вызывать,78
решить,328
cнoвa,2
пикчep,10
чeтыpe,7
мочь,1145
доесть,9
либо,275
тайком,4
выкидывать,9
недоесть,1
выйти,315
изз,424
прятать,12
рот,90
выплёвывать,2
туалет,52
класть,21
смочь,299
положить,66
добавка,10
наесться,12
поесть,21
пара,300
час,203
всевозможный,4
тётенька,3
упускать,2
возможность,135
ужаснуться,1
якобы,61
худоба,1
кушать,54
поделать,12
восторг,4
суп,12
котсилой,1
заставишбыть,1
голодныйс,1
